profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
static_ptq_tail_cudagraph,baseline,3,20,837.349386,37.97697399999993,927
static_ptq_tail_cudagraph,baseline,3,21,875.38319,38.03380400000003,279
static_ptq_tail_cudagraph,baseline,3,22,913.412643,38.02945299999999,16053
static_ptq_tail_cudagraph,baseline,3,23,951.435375,38.02273200000002,5679
static_ptq_tail_cudagraph,baseline,3,24,989.468827,38.03345200000001,3221
static_ptq_tail_cudagraph,baseline,3,25,1027.488488,38.01966099999993,279
static_ptq_tail_cudagraph,baseline,3,26,1065.532467,38.043979000000036,15140
static_ptq_tail_cudagraph,baseline,3,27,1103.568191,38.03572400000007,6964
static_ptq_tail_cudagraph,baseline,3,28,1141.596619,38.02842799999985,13
static_ptq_tail_cudagraph,baseline,3,29,1179.640375,38.04375600000003,578
static_ptq_tail_cudagraph,baseline,3,30,1217.678821,38.03844600000002,4062
static_ptq_tail_cudagraph,baseline,3,31,1255.677205,37.99838399999999,14198
static_ptq_tail_cudagraph,baseline,3,32,1293.790208,38.113002999999935,39935
static_ptq_tail_cudagraph,baseline,4,1,115.070599,,578
static_ptq_tail_cudagraph,baseline,4,2,152.919356,37.84875699999999,4062
static_ptq_tail_cudagraph,baseline,4,3,190.906316,37.98696000000001,14198
static_ptq_tail_cudagraph,baseline,4,4,228.957721,38.05140499999999,39935
static_ptq_tail_cudagraph,baseline,4,5,266.9514,37.993678999999986,35308
static_ptq_tail_cudagraph,baseline,4,6,304.971639,38.020239000000004,927
static_ptq_tail_cudagraph,baseline,4,7,342.977638,38.00599900000003,279
static_ptq_tail_cudagraph,baseline,4,8,380.962358,37.98471999999998,16053
static_ptq_tail_cudagraph,baseline,4,9,418.997988,38.035630000000026,5679
static_ptq_tail_cudagraph,baseline,4,10,457.018738,38.020749999999964,3221
static_ptq_tail_cudagraph,baseline,4,11,495.032513,38.01377500000001,279
static_ptq_tail_cudagraph,baseline,4,12,533.073903,38.04138999999998,15140
static_ptq_tail_cudagraph,baseline,4,13,571.070718,37.99681500000008,6964
static_ptq_tail_cudagraph,baseline,4,14,609.131083,38.06036499999993,13
static_ptq_tail_cudagraph,baseline,4,15,647.158042,38.02695900000003,578
static_ptq_tail_cudagraph,baseline,4,16,685.169416,38.01137399999993,4062
static_ptq_tail_cudagraph,baseline,4,17,723.225014,38.05559800000003,14198
static_ptq_tail_cudagraph,baseline,4,18,761.222373,37.99735899999996,39935
static_ptq_tail_cudagraph,baseline,4,19,799.248147,38.02577400000007,35308
static_ptq_tail_cudagraph,baseline,4,20,837.288545,38.04039799999998,927
static_ptq_tail_cudagraph,baseline,4,21,875.303184,38.01463899999999,279
static_ptq_tail_cudagraph,baseline,4,22,913.360991,38.057807000000025,16053
static_ptq_tail_cudagraph,baseline,4,23,951.397743,38.03675199999998,5679
static_ptq_tail_cudagraph,baseline,4,24,989.603705,38.205962,3221
static_ptq_tail_cudagraph,baseline,4,25,1027.762244,38.15853900000002,279
static_ptq_tail_cudagraph,baseline,4,26,1065.724215,37.96197099999995,15140
static_ptq_tail_cudagraph,baseline,4,27,1103.68145,37.95723500000008,6964
static_ptq_tail_cudagraph,baseline,4,28,1141.693179,38.01172900000006,13
static_ptq_tail_cudagraph,baseline,4,29,1179.719179,38.02599999999984,578
static_ptq_tail_cudagraph,baseline,4,30,1217.805849,38.08667000000014,4062
static_ptq_tail_cudagraph,baseline,4,31,1255.763372,37.95752299999981,14198
static_ptq_tail_cudagraph,baseline,4,32,1293.834267,38.070895000000064,39935
static_ptq_tail_cudagraph,profiled,0,1,115.521501,,578
static_ptq_tail_cudagraph,profiled,0,2,153.356148,37.83464699999999,4062
static_ptq_tail_cudagraph,profiled,0,3,191.38954,38.03339200000002,14198
static_ptq_tail_cudagraph,profiled,0,4,229.44066,38.05112,39935
static_ptq_tail_cudagraph,profiled,0,5,267.507427,38.066767,35308
static_ptq_tail_cudagraph,profiled,0,6,305.564242,38.05681499999997,927
static_ptq_tail_cudagraph,profiled,0,7,343.725341,38.161099000000036,279
static_ptq_tail_cudagraph,profiled,0,8,381.645969,37.920627999999965,16053
static_ptq_tail_cudagraph,profiled,0,9,419.659234,38.01326500000005,5679
static_ptq_tail_cudagraph,profiled,0,10,457.695538,38.03630399999997,3221
static_ptq_tail_cudagraph,profiled,0,11,495.703971,38.008433000000025,279
static_ptq_tail_cudagraph,profiled,0,12,533.746515,38.04254400000002,15140
static_ptq_tail_cudagraph,profiled,0,13,571.786275,38.03976,6964
static_ptq_tail_cudagraph,profiled,0,14,609.845715,38.059439999999995,13
